Average Cost for two,Has Table booking,Has Online delivery,Price range,Aggregate rating,Votes,cuisine_count,is_multi_cuisine,log_votes,cost_per_person,has_both_services,country_Australia,country_Brazil,country_Canada,country_India,country_Indonesia,country_New Zealand,country_Philippines,country_Qatar,country_Singapore,country_South Africa,country_Sri Lanka,country_Turkey,country_UAE,country_United Kingdom,country_United States,cuisine_freq_enc,city_freq_enc
1100,1,0,3,4.8,314,3,1,5.752572638825633,550.0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.0018911252195056058,0.00027016074564365796
1200,1,0,3,4.5,591,1,0,6.3835066348840055,600.0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.009590706470349859,0.00027016074564365796
4000,1,0,4,4.4,270,4,1,5.602118820879701,2000.0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.006483857895447791,0.0005403214912873159
1500,0,0,4,4.9,365,2,1,5.902633333401366,750.0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.009590706470349859,0.0005403214912873159
1500,1,0,4,4.8,229,2,1,5.438079308923196,750.0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.009590706470349859,0.0005403214912873159
1000,0,0,3,4.4,336,1,0,5.820082930352362,500.0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.08212886667567203,0.0005403214912873159
2000,1,0,4,4.0,520,2,1,6.255750041753367,1000.0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.009725786843171687,0.00040524111846548696
2000,1,0,4,4.2,677,4,1,6.519147287940395,1000.0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.006483857895447791,0.00040524111846548696
6000,1,0,4,4.9,621,3,1,6.432940092739179,3000.0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.00810482236930974,0.00040524111846548696
1100,1,0,3,4.8,532,1,0,6.278521424165844,550.0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.0008104822369309739,0.00040524111846548696
800,0,0,3,4.9,1070,2,1,6.976348070447749,400.0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.0008104822369309739,0.00040524111846548696
900,1,0,3,4.2,488,3,1,6.192362489474872,450.0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.03647170066189383,0.00040524111846548696
800,0,0,3,4.8,294,2,1,5.68697535633982,400.0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.0008104822369309739,0.00013508037282182898
1000,1,0,3,4.2,458,1,0,6.129050210060545,500.0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.0008104822369309739,0.00027016074564365796
700,0,0,3,4.3,223,1,0,5.4116460518550396,350.0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.001215723355396461,0.00027016074564365796
800,0,0,3,3.6,29,4,1,3.4011973816621555,400.0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.07415912467918412,0.00027016074564365796
